experiment_id	timestamp	score	metrics	kept	commit_sha	notes
exp_019	2026-03-27T12:41:18.107205+00:00	0.022820	{}	yes	7585da51df092b4caa4cf71492d6b72fa97be553	Widen page number margin threshold from 20% to 25%. Page accuracy: 0.706->0.794 (+3 correct). CER unchanged.
exp_020	2026-03-27T12:45:19.003153+00:00	0.022820	{}	no	reverted	Filter low-confidence observations (<0.2). No change - all observations already have sufficient confidence.
exp_021	2026-03-27T12:47:19.576015+00:00	0.021680	{}	yes	58e1c5dcafc6543b6d0f48c49442d9269264811a	Expand header filter margin from 10% to 12%. CER improved: 0.0191->0.0179. Catches more running headers.
exp_023	2026-03-27T12:51:54.717790+00:00	0.024364	{}	no	reverted	Increase header filter width threshold from 70% to 80%. Regressed - too aggressive, removes short body text lines in margins.
exp_024	2026-03-27T12:54:41.472885+00:00	0.020503	{}	yes	697831b41f532d2cfa668c85dc5f8bb26d8e97f5	Fallback page number extraction from first/last body observation when margin detection fails. Page accuracy: 0.794->0.853 (+2). CER unchanged.
exp_025	2026-03-27T13:01:01.888438+00:00	0.019915	{}	yes	09171e3dafb6a55cb7b95e34894f3024c866b54b	Fallback page number: also run when primary finds <10, and scan first 3 + last 2 observations. Page accuracy: 0.853->0.882.
exp_026	2026-03-27T13:03:50.516073+00:00	0.019870	{}	yes	93d5872859a5578fb04ca97159a58da01f5cb0cb	Tighten facing-page overlap threshold from 0.3 to 0.35. Small CER improvement: 0.01792->0.01787.
exp_027	2026-03-27T13:05:51.011298+00:00	0.019330	{}	yes	0acc00901f81878dc69ff29ed23ae5be4a3138be	Strip running header prefix from body text when pattern [title words] [number] [lowercase body] is detected. CER: 0.01787->0.01732.
exp_028	2026-03-27T13:09:21.849319+00:00	0.019285	{}	yes	4332ad6dd5d3c05da433aa963b1f2a46a1f9abf4	Handle German guillemet dialogue: add « to sentence enders and » to paragraph starts. CER: 0.01732->0.01728.
exp_029	2026-03-27T14:59:47.097892+00:00	0.018521	"{""cer"": 0.016497559034632632, ""wer"": 0.04516129032258064, ""mean_latency_ms"": 1538.8529411764705, ""page_number_accuracy"": 0.8823529411764706}"	yes	31e4ebe14146e7b67b031b1b4c103a1ba7cb3f6a	Strip trailing page number from body text when Vision merges it with last line. CER: 0.01697->0.01650. 11 samples affected.
exp_030	2026-03-30T15:52:21.700312+00:00	0.021520	"{""cer"": 0.019558330655158166, ""wer"": 0.052521581099500225, ""mean_latency_ms"": 1575.6470588235295, ""page_number_accuracy"": 0.8823529411764706}"	no	reverted	UITextChecker spell checking post-processing. CER regressed from 0.01650 to 0.01956 - spell checker too aggressive, changing valid words incorrectly.
exp_031	2026-03-30T15:55:30.318022+00:00	0.019975	"{""cer"": 0.017982033270587516, ""wer"": 0.050068150840527036, ""mean_latency_ms"": 1573.9411764705883, ""page_number_accuracy"": 0.8823529411764706}"	no	reverted	Conservative spell checking (edit distance ≤2, ≥4 chars, letters only). CER still regressed from 0.01650 to 0.01798 - UITextChecker changing correct literary words.
exp_032	2026-03-30T15:58:27.014990+00:00	0.018566	"{""cer"": 0.016543470608940514, ""wer"": 0.04507042253521127, ""mean_latency_ms"": 1568.5, ""page_number_accuracy"": 0.8823529411764706}"	no	reverted	Ultra-conservative spell checking (edit distance 1, ≥5 chars, lowercase only). Nearly neutral but still slightly regressed CER 0.01650→0.01654.
exp_033	2026-03-30T16:01:55.228648+00:00	0.017771	"{""cer"": 0.015732366129501248, ""wer"": 0.04461608359836438, ""mean_latency_ms"": 1584.764705882353, ""page_number_accuracy"": 0.8823529411764706}"	yes	6c3ce3ce8e5f6dc6f9b952a8aab167ae81a2f6b6	Expand stripRunningHeader search range from 5 to 8 words (maxSplits 10→14, bodyStartIdx guard 6→9). Catches longer headers like 'Debacle: Lorraine, Ardennes, Charleroi, Mons » 267'. CER: 0.01650→0.01573.
